epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,328.275,0.00846,0.02057,4.60204,1.34593,0.54197,0.09157,0.06004,0.04265,0.55431,0.08879,0.05859,0.03757,0.00641,0.01414,3.13277,1.14056,4.6351e-05,4.6351e-05,4.6351e-05
2,647.171,0.00759,0.01759,3.47268,1.26916,0.53267,0.13677,0.10483,0.07683,0.53297,0.13549,0.1035,0.0677,0.00604,0.01313,2.69792,1.07885,7.46522e-05,7.46522e-05,7.46522e-05
3,965.201,0.00719,0.01687,3.18496,1.23018,0.53356,0.15456,0.13368,0.10079,0.54412,0.15203,0.13148,0.08956,0.00572,0.01256,2.52521,1.04323,5.6544e-05,5.6544e-05,5.6544e-05
4,1283.9,0.00706,0.01661,3.06451,1.21346,0.54194,0.174,0.14301,0.10863,0.54226,0.17296,0.14032,0.09676,0.00557,0.01229,2.42978,1.02944,3.8316e-05,3.8316e-05,3.8316e-05
5,1599.9,0.00696,0.01648,3.00465,1.20748,0.53258,0.18522,0.15146,0.11556,0.53215,0.18297,0.14855,0.10327,0.00553,0.0121,2.38726,1.02337,2.0088e-05,2.0088e-05,2.0088e-05
